Object ID,Unique_ID,Sample_ID,Other_ID,Modern_or_Arch,Specimen_Type,Tissue_Type,Bone/Tooth_Type,Collagen/Apatite/Enamel,Genus/Order,Species,Group,CommonName,Description_of_Sample,Site_Name_or_Area,San Juan Basin?,Site_Number,Provenience,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,Radiocarbon_Lab_No,Date_Period,Date_Beginning,Date_Med or actual,Date_End,Date_Range,Date of Collection,Source/Citation,Notes ,Sample weight (mg),Sr87/Sr86 Calibrated to NBS Standard (0.71029),Sr87/Sr86 (non-enamel),87Sr/86SR (non-enamel) SD (2 sigma),87Sr/86Sr (non-enamal) Standardized Value,87Sr/86Sr (Enamel),87Sr/86Sr (Enamel) 2-sigma s.e.,87Sr/86Sr (enamal) Standardized Value,% instrument error,Sr 1sigma,δ13 C Collagen,δ13 C bone apatite,δ13 C enamel,"δ13 C enamel, SD",δ13 C vegetation,δ13 C hair,"Suess Correction, δ13 C bioapatite ","Vegetation Baseline Correction, δ13 C bioapatite",Wt%C,Wt%N,δ18 O apatite vpdb (%o),δ18 O apatite vpdb (%o) SD,Corrected d18O(%o) apatite VDPB,δ18 O enamel vpdb (%o),Corrected d18O(%o) enamel VDPB,δ18 O vsmow (%o); aka δ18 O water,δ18 O vsmow (%o) SD,δ15 N Collagen,C:N,Atomic C:N,N(%),% Collagen Yield,Wt% Coll,δD vsmow (%o); aka δD water,d2H SD,Dentin Pb 206/204,% SE (Dentin Pb 206/204),Dentin Pb 207/204,% SE (Dentin Pb 207/204),Dentin Pb 208/204,% SE (Dentin Pb 208/204),Dentin Pb 207/206,% SE (Dentin Pb 207/206),Dentin Pb 208/206,% SE (Dentin Pb 208/206),Dentin Pb (ng),"Dentin Pb spl wt, g",Dentin Pb (ppm),Enamel Pb 206/204,% SE (Enamel Pb 206/204),Enamel Pb 207/204,% SE (Enamel Pb 207/204),Enamel Pb 208/204,% SE (Enamel Pb 208/204),Enamel Pb 207/206,% SE (Enamel Pb 207/206),Enamel Pb 208/206,% SE (Enamel Pb 208/206),Enamel Pb (ng),"Enamel Pb spl wt, g",Enamel Pb (ppm),208/204,207/204,206/204
5530,,PB4497/1890,,Archaeological,Fauna,Bone,,,Rodent,Cynomys,Rodent,Prairie dog,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,,,,,,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,,PB3535/2054,,Archaeological,Fauna,Bone,,,Rodent,Cynomys,Rodent,Prairie dog,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.7,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5532,,PB4496/1890,,Archaeological,Fauna,Bone,,,Rodent,Cynomys,Rodent,Prairie dog,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,,PB3916/1767,,Archaeological,Fauna,Bone,,,Rodent,Cynomys,Rodent,Prairie dog,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5439,,WWS-0893,0893,modern,Vegetal,Wood,,,,,,,wood,"Chaco Canyon (New Mexico, US)",y,,FS 172 (no other provenience),,,,,,,,,,,,,,,,,,,0.709891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5440,,WWS-0894,0894,modern,Vegetal,Wood,,,,,,,wood,"Chaco Canyon (New Mexico, US)",y,,FS 173  (no other provenience),,,,,,,,,,,,,,,,,,,0.710061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5441,,WWS-0895,0895,modern,Vegetal,Wood,,,,,,,pine stump,"Chaco Canyon (New Mexico, US)",y,,"FS 174, Werito's Rincon, 233543.11 E, 3990751.89 N",,,,,,,,,,,,,,,,,,,0.710470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,,PB3917/1767,,Archaeological,Fauna,Bone,,,Rodent,Cynomys,Rodent,Prairie dog,Grimstead Archeo,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,,,,,,,,,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5443,,WWS-0920,0920,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 21, surface",,,,,,,,,,,,,,,,,,,0.710559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5444,,WWS-0921,0921,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 22-a, surface",,,,,,,,,,,,,,,,,,,0.710790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5445,,WWS-0922,0922,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 22-b, surface",,,,,,,,,,,,,,,,,,,0.710092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5446,,WWS-0923,0923,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 22-c, surface",,,,,,,,,,,,,,,,,,,0.710849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5447,,WWS-0924,0924,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 22-d, surface",,,,,,,,,,,,,,,,,,,sample not sent to WSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5448,,WWS-0925,0925,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 22-e, surface",,,,,,,,,,,,,,,,,,,0.709964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,,WWS-0926,0926,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 23-a, surface",,,,,,,,,,,,,,,,,,,0.710021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5450,,WWS-0927,0927,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 23-b, surface",,,,,,,,,,,,,,,,,,,0.710197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5451,,WWS-0928,0928,archaeological,Vegetal,Cob,,,,,,,cob,"Chaco Canyon (New Mexico, US)",y,,"FS 7003, surface",,,,,,,,,,,,,,,,,,,0.712601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
